"illumina_humanht_12_v3","ensembl_gene_id","gene_biotype","external_gene_name"
"ILMN_1803881","ENSG00000143869","protein_coding","GDF7"
"ILMN_1702301","ENSG00000135905","protein_coding","DOCK10"
"ILMN_1671703","ENSG00000107796","protein_coding","ACTA2"
"ILMN_1668063","ENSG00000085265","protein_coding","FCN1"
"ILMN_1758939","ENSG00000104312","protein_coding","RIPK2"
"ILMN_1787514","ENSG00000182472","protein_coding","CAPN12"
"ILMN_1770344","ENSG00000224975","lncRNA","INE1"
"ILMN_1655348","ENSG00000183671","protein_coding","GPR1"
"ILMN_1702329","ENSG00000102385","protein_coding","DRP2"
"ILMN_1777453","ENSG00000183979","protein_coding","NPB"
"ILMN_1770338","ENSG00000169908","protein_coding","TM4SF1"
"ILMN_1657145","ENSG00000005102","protein_coding","MEOX1"
"ILMN_1712112","ENSG00000159200","protein_coding","RCAN1"
"ILMN_1652825","ENSG00000110324","protein_coding","IL10RA"
"ILMN_1733675","ENSG00000130830","protein_coding","MPP1"
"ILMN_1761425","ENSG00000185585","protein_coding","OLFML2A"
"ILMN_1695382","ENSG00000157514","protein_coding","TSC22D3"
"ILMN_1683239","ENSG00000068028","protein_coding","RASSF1"
"ILMN_1682717","ENSG00000235030","protein_coding","IER3"
"ILMN_1744381","ENSG00000106366","protein_coding","SERPINE1"
"ILMN_1665483","ENSG00000080608","protein_coding","PUM3"
"ILMN_1749078","ENSG00000035862","protein_coding","TIMP2"
"ILMN_1675100","ENSG00000136160","protein_coding","EDNRB"
"ILMN_1798270","ENSG00000166002","protein_coding","SMCO4"
"ILMN_1795089","ENSG00000105122","protein_coding","RASAL3"
"ILMN_1661799","ENSG00000258016","processed_pseudogene","HIGD1AP1"
"ILMN_1805778","ENSG00000183808","protein_coding","RBM12B"
"ILMN_1805415","ENSG00000172572","protein_coding","PDE3A"
"ILMN_1804601","ENSG00000274497","IG_C_gene","IGHG2"
"ILMN_1752312","ENSG00000184274","lncRNA","LINC00315"
"ILMN_1812091","ENSG00000108950","protein_coding","FAM20A"
"ILMN_1719759","ENSG00000041982","protein_coding","TNC"
"ILMN_1665540","ENSG00000276997","lncRNA","AL513314.2"
"ILMN_1778064","ENSG00000198855","protein_coding","FICD"
"ILMN_1679268","ENSG00000197329","protein_coding","PELI1"
"ILMN_1744897","ENSG00000143603","protein_coding","KCNN3"
"ILMN_1762899","ENSG00000120738","protein_coding","EGR1"
"ILMN_1660436","ENSG00000212866","protein_coding","HSPA1B"
"ILMN_1690217","ENSG00000170819","protein_coding","BFSP2"
"ILMN_1715505","ENSG00000139865","protein_coding","TTC6"
"ILMN_1710597","ENSG00000091527","protein_coding","CDV3"
"ILMN_1716276","ENSG00000275302","protein_coding","CCL4"
"ILMN_1713686","ENSG00000157368","protein_coding","IL34"
"ILMN_1782741","ENSG00000178789","protein_coding","CD300LB"
"ILMN_1912287","ENSG00000198829","protein_coding","SUCNR1"
"ILMN_1747355","ENSG00000277796","protein_coding","CCL3L1"
"ILMN_1739393","ENSG00000007908","protein_coding","SELE"
"ILMN_1664464","ENSG00000107317","protein_coding","PTGDS"
"ILMN_1679209","ENSG00000113013","protein_coding","HSPA9"
"ILMN_1813379","ENSG00000049249","protein_coding","TNFRSF9"
"ILMN_1767020","ENSG00000205744","protein_coding","DENND1C"
"ILMN_1690034","ENSG00000109610","protein_coding","SOD3"
"ILMN_1682491","ENSG00000141956","protein_coding","PRDM15"
"ILMN_1693766","ENSG00000174799","protein_coding","CEP135"
"ILMN_1666453","ENSG00000104375","protein_coding","STK3"
"ILMN_1716276","ENSG00000282604","protein_coding","CCL4L2"
"ILMN_1730907","ENSG00000104231","protein_coding","ZFAND1"
